"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 03, 2017","5,880.44","5,880.44","5,880.44","5,880.44","-","-0.18%"
"Aug 02, 2017","5,891.16","5,891.16","5,891.16","5,891.16","-","0.25%"
"Aug 01, 2017","5,876.26","5,876.26","5,876.26","5,876.26","-","0.27%"
"Jul 31, 2017","5,860.64","5,860.64","5,860.64","5,860.64","-","1.01%"
"Jul 30, 2017","5,802.04","5,802.04","5,802.04","5,802.04","-","-0.22%"
"Jul 27, 2017","5,815.07","5,815.07","5,815.07","5,815.07","-","-0.16%"
"Jul 26, 2017","5,824.42","5,824.42","5,824.42","5,824.42","-","0.39%"
"Jul 25, 2017","5,801.89","5,801.89","5,801.89","5,801.89","-","0.07%"
"Jul 24, 2017","5,798.11","5,798.11","5,798.11","5,798.11","-","0.39%"
"Jul 23, 2017","5,775.59","5,775.59","5,775.59","5,775.59","-","-0.12%"
"Jul 20, 2017","5,782.47","5,782.47","5,782.47","5,782.47","-","0.12%"
"Jul 19, 2017","5,775.59","5,775.59","5,775.59","5,775.59","-","-0.75%"
"Jul 18, 2017","5,819.26","5,819.26","5,819.26","5,819.26","-","-0.09%"
"Jul 17, 2017","5,824.42","5,824.42","5,824.42","5,824.42","-","-0.35%"
"Jul 16, 2017","5,844.72","5,844.72","5,844.72","5,844.72","-","0.17%"
"Jul 13, 2017","5,834.86","5,834.86","5,834.86","5,834.86","-","0.76%"
"Jul 12, 2017","5,790.78","5,790.78","5,790.78","5,790.78","-","-0.69%"
"Jul 11, 2017","5,830.77","5,830.77","5,830.77","5,830.77","-","0.06%"
"Jul 10, 2017","5,827.18","5,827.18","5,827.18","5,827.18","-","0.92%"
"Jul 09, 2017","5,774.29","5,774.29","5,774.29","5,774.29","-","0.43%"
"Jul 06, 2017","5,749.65","5,749.65","5,749.65","5,749.65","-","-0.57%"
"Jul 05, 2017","5,782.65","5,782.65","5,782.65","5,782.65","-","0.38%"
"Jul 04, 2017","5,760.50","5,760.50","5,760.50","5,760.50","-","0.60%"
"Jul 03, 2017","5,726.37","5,726.37","5,726.37","5,726.37","-","1.27%"
"Jul 02, 2017","5,654.62","5,654.62","5,654.62","5,654.62","-","-0.03%"
"Jun 29, 2017","5,656.04","5,656.04","5,656.04","5,656.04","-","0.17%"
"Jun 28, 2017","5,646.28","5,646.28","5,646.28","5,646.28","-","0.84%"
"Jun 22, 2017","5,599.07","5,599.07","5,599.07","5,599.07","-","0.56%"
"Jun 21, 2017","5,567.69","5,567.69","5,567.69","5,567.69","-","0.73%"
"Jun 20, 2017","5,527.22","5,527.22","5,527.22","5,527.22","-","0.88%"
"Jun 19, 2017","5,478.82","5,478.82","5,478.82","5,478.82","-","0.31%"
"Jun 18, 2017","5,461.63","5,461.63","5,461.63","5,461.63","-","-0.12%"
"Jun 15, 2017","5,468.32","5,468.32","5,468.32","5,468.32","-","0.16%"
"Jun 14, 2017","5,459.72","5,459.72","5,459.72","5,459.72","-","0.09%"
"Jun 13, 2017","5,454.78","5,454.78","5,454.78","5,454.78","-","0.09%"
"Jun 12, 2017","5,450.11","5,450.11","5,450.11","5,450.11","-","-0.09%"
"Jun 11, 2017","5,455.17","5,455.17","5,455.17","5,455.17","-","-0.38%"
"Jun 08, 2017","5,475.74","5,475.74","5,475.74","5,475.74","-","-0.26%"
"Jun 07, 2017","5,489.87","5,489.87","5,489.87","5,489.87","-","-0.20%"
"Jun 06, 2017","5,500.65","5,500.65","5,500.65","5,500.65","-","0.33%"
"Jun 05, 2017","5,482.52","5,482.52","5,482.52","5,482.52","-","0.71%"
"Jun 04, 2017","5,443.99","5,443.99","5,443.99","5,443.99","-","0.10%"
"Jun 01, 2017","5,438.70","5,438.70","5,438.70","5,438.70","-","0.66%"
"May 31, 2017","5,403.11","5,403.11","5,403.11","5,403.11","-","0.56%"
"May 30, 2017","5,373.25","5,373.25","5,373.25","5,373.25","-","0.31%"
"May 29, 2017","5,356.58","5,356.58","5,356.58","5,356.58","-","-0.30%"
"May 28, 2017","5,372.86","5,372.86","5,372.86","5,372.86","-","-0.76%"
"May 25, 2017","5,413.81","5,413.81","5,413.81","5,413.81","-","0.02%"
"May 24, 2017","5,412.68","5,412.68","5,412.68","5,412.68","-","0.33%"
"May 23, 2017","5,394.81","5,394.81","5,394.81","5,394.81","-","0.18%"
